Unnamed: 0,closeness_centrality,betweenes_centrality,degree_centrality,eigenvector_centrality,pagerank_centrality,latitude e longitude,quantidade_ocorrencia,distancia_universidade,quantidade_ocorrencia_2,medida_influencia_crime
0,0.0327150552175286,0.0,0.0015360983102918,5.167298762416157e-09,0.0004442127975473,"(-20.3746443, -43.5418037)",12,4004.85584245556,21.800000000000004,9.512935070346773
1,0.0450080539136098,0.0948896432096901,0.0046082949308755,0.0001571548229905,0.0009678352248352,"(-20.4035326, -43.521187)",0,1393.6172191018438,0.0,0.0
2,0.0387249204422982,0.0600903412538895,0.0046082949308755,3.456026506842313e-07,0.0009583677296267,"(-20.4069414, -43.493606)",2,2170.556908676079,0.8,183.62193365781914
3,0.0389249710900254,0.0559569539726596,0.0046082949308755,2.563172828090423e-06,0.0008272766054432,"(-20.3860472, -43.4803574)",1,3340.9989533115568,0.4,18.839962944048125
4,0.0559999530070602,0.260342298101642,0.0046082949308755,0.0027762908435226,0.0009455115882099,"(-20.3910974, -43.5016257)",7,1078.0172552499432,3.8,235.92036945855756
5,0.0493622895616985,0.1200733631886465,0.0046082949308755,0.0144492912343645,0.0007981075170349,"(-20.3986423, -43.5188477)",0,908.4503705954317,0.0,0.0
6,0.0522984105743269,0.1953522788616495,0.0053763440860215,1.0233632702229425e-05,0.0008604409920355,"(-20.387537, -43.5050113)",10,1090.1901231795175,4.4,210.16545229288565
7,0.0515597912333862,0.0145357056466921,0.0030721966205837,4.686121248573615e-05,0.000878410154899,"(-20.3890378, -43.50145)",0,1219.6794922105855,0.8999999999999999,72.36963796060276
8,0.0521678908522479,0.0421944405546809,0.0038402457757296,1.2314337005499502e-05,0.0014305994215615,"(-20.3877824, -43.5069283)",2,970.9914789939388,2.0,170.89097928005384
9,0.0482917953736407,0.1081812607599815,0.0023041474654377,1.2573992353900544e-07,0.0004080019918759,"(-20.3859089, -43.5048385)",3,1254.788795488117,2.7,168.24119548706125
10,0.0491246650156317,0.0173719309113559,0.0030721966205837,6.501613690234567e-07,0.0011058288554103,"(-20.3852437, -43.5056246)",3,1284.1531601437648,2.1,393.2620070940917
11,0.039696364630066,0.0086517345969486,0.0046082949308755,0.0001171981758441,0.0009838588045954,"(-20.4013624, -43.5097098)",0,629.8455526455618,0.1,10.999560988173457
12,0.0413162111847231,0.0113695508100559,0.0046082949308755,0.0002398529488634,0.000783607073682,"(-20.3996446, -43.50831)",1,496.7221734827448,1.4,103.503633032143
13,0.0537026856355362,0.1791817207958987,0.0046082949308755,0.0159284387717955,0.0008874875799896,"(-20.3912827, -43.5052763)",0,753.1524035341633,0.4,23.837654060671525
14,0.0432607955284864,0.0494274443820889,0.0046082949308755,1.346728903921482e-05,0.0009782771937214,"(-20.4023106, -43.5037702)",0,1023.7924924846448,1.2,172.36266394051182
15,0.0453958776994779,0.0134926428683924,0.0046082949308755,9.20467740784088e-05,0.0008022472591818,"(-20.3992082, -43.5027311)",0,912.9314517810049,0.5,31.7134142252701
16,0.0434930838459761,0.0727716338973344,0.0046082949308755,1.658826988417542e-06,0.0010199324055691,"(-20.3789703, -43.5165485)",0,1965.6914423235896,0.2,10.653997575866628
