,closeness_centrality,betweenes_centrality,degree_centrality,eigenvector_centrality,pagerank_centrality,quantidade_ocorrencia,distancia_universidade,quantidade_ocorrencia_2,medida_influencia_crime
2701,0.5088074536099519,0.0,0.0,2.4846756783883724e-05,0.08998688974688068,0.0,0.17297999886145954,0.0,0.0
2702,0.4719906846660561,0.16397012007152242,0.5,2.8451079429450035e-09,0.48305811482955674,0.0,0.25787125014507234,0.0,0.0
2703,0.4250496361133661,0.002490671978662716,0.24999999999999994,4.149666711558618e-10,0.4157551649510792,0.0,0.2881145913856356,0.0,0.0
2704,0.448033240922051,0.007469034880358528,0.5,1.162886284548147e-09,0.6033547326894942,0.0,0.2639449218262785,0.0,0.0
2705,0.40299464962960985,0.0,0.0,1.3291684891258966e-10,0.17008333492672548,0.0,0.28032182899330715,0.0,0.0
2706,0.42503616143958844,0.0,0.0,3.723711649225784e-10,0.14065762000677615,0.0,0.27691208924980004,0.0,0.0
2707,0.41318920325614894,0.0,0.0,2.917598445573604e-10,0.12941475085582274,0.0,0.27833008021327355,0.0,0.0
2708,0.49149799941865224,0.17024893958851287,0.6249999999999791,5.844231358552383e-09,0.5729356550297096,0.0,0.25134756649164125,0.0,0.0
2709,0.4665648727008628,0.0,0.0,1.307089154732427e-09,0.12825564882074372,0.0,0.23622991621372827,0.0,0.0
2710,0.5121592543946308,0.17235173659400355,0.5,8.019526909973012e-09,0.5048119918093454,0.0,0.2506658978850743,0.0,0.0
2711,0.47188796170615277,0.0794574700555151,0.5,2.127650958406097e-09,0.5565104498645562,0.0,0.2543251448329414,0.0,0.0
2712,0.49139167706826126,0.0854808311951245,0.7499999999999998,4.083729880163144e-09,0.8007095138835535,0.0,0.2403779295813783,0.0,0.0
2713,0.4478926931026924,0.0,0.0,6.810723144512621e-10,0.12952555121360762,0.0,0.2562491409302934,0.0,0.0
2714,0.4665648727008628,0.0,0.0,1.307089154732427e-09,0.12825564882074372,0.0,0.17058416998503392,0.0,0.0
2715,0.4667611240511088,0.009953744747761588,0.24999999999999994,2.1519123621868654e-09,0.30094449634098486,0.0,0.2522226582118533,0.0,0.0
2716,0.5121592543946308,0.09156314947492898,0.3749999999999791,7.401274372397394e-09,0.4978961233472854,0.0,0.24706337245061263,0.0,0.0
2717,0.42024717093359787,0.002490671978662716,0.24999999999999994,3.138677795780299e-10,0.4252035260536138,0.0,0.2797710676265882,0.0,0.0
2718,0.44302392081896314,0.007469034880358528,0.5,8.795957125057459e-10,0.6272396846948234,0.0,0.26701092312196967,0.0,0.0
2719,0.4202338162597973,0.0,0.0,2.8165502092879823e-10,0.14684253801381378,0.0,0.2710537092214068,0.0,0.0
2720,0.6977263098754439,0.014790115005587664,0.24999999999999994,0.0005409107139842965,0.29605437721340033,0.0,0.36258335083230886,0.0,0.0
2721,0.749355202049948,0.016921650448998453,0.24999999999999994,0.00018801971432070409,0.3102055908126288,0.0,0.36170524471990617,0.0,0.0
2722,0.6979274434360024,0.002490671978662716,0.5,1.0826465007555876e-08,0.6006634146141255,0.0,0.15375527967479816,0.0,0.0
2723,0.5996111788766246,0.0,0.0,1.5730135610356718e-08,0.1602239865607006,0.0,0.040462926003382874,0.0,0.0
2724,0.04386532804544263,0.0,0.0,1.6780681209745108e-07,0.13481451034384076,0.0,0.9686633812957364,0.0,0.0
2725,0.008512136465623543,7.825271028114643e-06,0.24999999999999994,1.6068493042388408e-07,0.29963649489288713,0.0,0.9988617232264528,0.0,0.0
2726,0.03478930359964849,0.00786315527674272,0.5,6.188075340215573e-07,0.44658229123722204,0.0,0.980099463674364,0.0,0.0
2727,0.025774005469088368,0.0031030304892752146,0.24999999999999994,2.285926259796135e-07,0.29415658172483916,0.0,0.9946928727286112,0.0,0.0
2728,0.025832647307399426,0.004355943328332254,0.5,7.055909699305177e-07,0.43042524368668467,0.0,0.9907882797873063,0.0,0.0
2729,0.03483035779142962,0.009125011282689034,0.7499999999999998,1.2651065679274045e-06,0.58996892767553,0.0,0.9814402229747955,0.0,0.0
2730,0.0347728832989872,0.0,0.0,4.214200063243077e-07,0.09575151942182461,0.0,0.9584284031457898,0.0,0.0
2731,0.025797994083891607,0.003111725234862056,0.5,4.799810291478509e-07,0.5217829433750302,0.0,0.9776808900932573,0.0,0.0
2732,0.03481393552494505,0.010356435679081821,0.7499999999999998,9.574144389462652e-07,0.6699486407442813,0.0,0.9728272741785737,0.0,0.0
2733,0.04404238387763093,0.021095688585284603,0.7499999999999998,1.3657920146788378e-06,0.6423559214597212,0.0,0.9677169514500817,0.0,0.0
2734,0.053476345147827176,0.018585391323725886,0.5,1.5859982975763958e-06,0.4234072131321108,0.0,0.9737442652754117,0.0,0.0
2735,0.04396368125947714,0.0,0.0,5.484588740733151e-07,0.09499364409516728,0.0,0.9543686917327623,0.0,0.0
2736,0.336916751514715,0.0,0.0,9.58176066291207e-06,0.0902219405945521,0.0,0.7374751690221028,0.0,0.0
2737,0.9601461255920426,0.2974098343877655,0.24999999999999994,3.1488288016950492e-09,0.3898516587000347,0.0,0.1694271278893948,0.125,0.01516065792117072
2738,0.9427552494662336,0.24972517933376293,0.24999999999999994,1.1096357393698579e-09,0.5236057648561038,0.0,0.16738387957163006,0.04166666666666667,0.011575751804825096
2739,0.6827171810439959,0.36803165353792194,0.24999999999999994,2.2107938696230335e-07,0.2870591821521693,0.0,0.41870235577403025,0.0,0.0
2740,0.5397618085292982,0.12980876949622955,0.5,9.731371021539427e-10,0.46056063120697566,0.16666666666666666,0.45516949719845673,0.16666666666666669,0.001756669518383805
2741,0.8802753352891534,0.00587032107577245,0.5,0.009672120470997216,0.3695329229815616,0.16666666666666666,0.3066211285082304,0.16666666666666669,0.0240727689059392
2742,0.8130822315233838,0.004309932469056273,0.24999999999999994,4.2432093107172275e-10,0.2960242640346704,0.0,0.05363421794190518,0.04166666666666667,0.009986876885281297
2743,0.8667122845595029,0.1520955633516284,0.24999999999999994,2.876856949429012e-08,0.23392794943112558,0.0,0.21716811028044208,0.25,0.017566700512084733
2744,0.8129575192533406,0.03729896413108046,0.3749999999999791,5.1191565541727614e-08,0.2961150929051999,0.16666666666666666,0.23275005345691674,0.5000000000000001,0.05600626553283791
2745,0.9652065850130215,0.24757681543791857,0.24999999999999994,1.592323243081081e-08,0.3655735330761808,0.0,0.21013502251840047,0.0,0.0
