Unnamed: 0,closeness_centrality,betweenes_centrality,degree_centrality,eigenvector_centrality,pagerank_centrality,latitude e longitude,quantidade_ocorrencia,distancia_universidade,quantidade_ocorrencia_2,medida_influencia_crime
0,0.0176246988301164,0.0,0.0005982650314089,8.216793784897299e-08,0.000141362194944,"(-21.0899638, -44.2319696)",0,6260.9641854470565,0.3,1.815247246985535
1,0.0289264422120118,0.0701986771342234,0.0008973975471133,1.793877444109771e-09,0.0002271278227466,"(-21.1299603, -44.2508231)",1,1466.2007749098698,0.4,20.018926252781082
2,0.0316155817626419,0.0595860816833011,0.0014956625785222,9.942416452628064e-09,0.0003500688686788,"(-21.1251674, -44.2482868)",0,2042.4579464171893,0.0,0.0
3,0.0291240144618199,0.004955250314103,0.0011965300628178,4.773294745388056e-09,0.0002175037315745,"(-21.1242539, -44.2507781)",0,1980.269710594396,1.1,65.26099732312123
4,0.0313837776943297,0.1200666383621835,0.0017947950942267,2.86434121570724e-08,0.0004098727549667,"(-21.1251216, -44.2484255)",0,2037.6073168039056,0.0,0.0
5,0.0307456015303823,0.0354653521877385,0.0017947950942267,3.212410608521513e-07,0.0003639718233796,"(-21.1272096, -44.2450087)",1,2114.140588506165,0.4,14.310555061802596
6,0.0291082919013992,0.0057406181560497,0.0011965300628178,3.3427974414516617e-07,0.0002660314625208,"(-21.1257603, -44.2431331)",0,2366.7245738315883,0.0,0.0
7,0.0314854581072935,0.1126340236538316,0.0020939276099311,4.45344313032591e-09,0.0003400172073358,"(-21.1283534, -44.2468966)",0,1882.982411336402,0.3,36.29099787186429
8,0.0320447073032792,0.1538609493157698,0.0014956625785222,1.961568433946067e-09,0.0003614466038183,"(-21.129362, -44.2489584)",0,1649.630210942026,0.0,0.0
9,0.0319171281267901,0.1446974684508975,0.0017947950942267,3.699230945950119e-09,0.0003638319903989,"(-21.1311857, -44.2507374)",0,1376.2959327566164,0.0,0.0
10,0.0310073924294843,0.024913146361852,0.0011965300628178,4.6040531078683437e-10,0.0002618979549672,"(-21.1313023, -44.2513387)",1,1322.138753822627,0.7,24.977482665671406
11,0.0308463128367904,0.1131036537233765,0.0011965300628178,2.7334731031489344e-10,0.0003305120468716,"(-21.1328703, -44.2570939)",0,825.9186909544094,0.3,12.266760598123092
12,0.0303074259086334,0.0110107740293595,0.0011965300628178,4.154320340820373e-08,0.0002560627418829,"(-21.126257, -44.2435261)",0,2299.898276684813,0.4,46.99986796123957
13,0.0295482468158073,0.0229298556073315,0.0008973975471133,7.767618500221117e-07,0.0002269261431201,"(-21.1266434, -44.2415562)",0,2433.9067392801544,0.3,73.88953067112107
14,0.0315386284517486,0.0699459207663541,0.0017947950942267,2.1040980709003663e-05,0.0003914649167258,"(-21.1262939, -44.2410254)",0,2501.285226353813,0.4,41.78484751755854
15,0.0286527302803562,0.082482644979646,0.0011965300628178,1.9840664957741037e-09,0.0003560225792958,"(-21.1355183, -44.2602042)",1,454.27020310371466,0.6000000000000001,46.221945668695355
16,0.0303748932381108,0.001143635182297,0.0017947950942267,1.4650407289668789e-10,0.0003919482838608,"(-21.1312228, -44.2528583)",0,1220.9179354734829,0.5,28.91778841051149
17,0.0302454559436889,0.0236705244866838,0.0008973975471133,8.760482030407448e-11,0.0002135932166163,"(-21.1318483, -44.2539415)",0,1095.9582312576824,0.3,29.467759702835757
18,0.0251517910211943,0.0043629196968124,0.0017947950942267,1.5494773871815055e-08,0.0002865845621277,"(-21.1333972, -44.2609082)",0,690.7407484206085,0.3,17.588712489751046
19,0.0246306870510222,0.0013852045508094,0.0017947950942267,3.2502009749441095e-08,0.0003209095622395,"(-21.1333044, -44.2620684)",0,718.8780486519901,0.0,0.0
20,0.0241472963407058,0.0006278088987224,0.0014956625785222,4.254555996951695e-08,0.0001988489679389,"(-21.1334567, -44.2626823)",0,720.0669295019198,0.0,0.0
21,0.0240590140338251,0.0003827094280765,0.0017947950942267,6.64412142128333e-08,0.0003730892965523,"(-21.1338938, -44.2620862)",0,655.7404378821456,0.2,30.372527914916397
22,0.0244791857357302,0.0012001587554757,0.0014956625785222,4.4832581404712406e-08,0.0003488391475195,"(-21.1341175, -44.2616084)",1,620.442534137609,0.7,61.82121087034437
23,0.02412290196418,0.0024088539426797,0.0011965300628178,5.621862767043572e-08,0.0002537355646495,"(-21.1346194, -44.2617065)",0,567.9505889932283,0.1,15.273732126634972
24,0.0242206009143403,0.0012456325005257,0.0014956625785222,1.3148283898714488e-07,0.0002125793210574,"(-21.1343644, -44.262186)",0,608.2319467215431,0.0,0.0
25,0.0253073522286821,0.0057186286357113,0.0011965300628178,2.564915569397356e-08,0.0003692754828798,"(-21.1347865, -44.2614119)",2,543.5695101199751,1.0,48.7521866289321
26,0.0266289628803568,0.017581198162024,0.0020939276099311,2.456734022145797e-10,0.0003233034324407,"(-21.1382917, -44.2580126)",0,293.5428049591983,0.4,20.044936390573735
27,0.0242634944367429,0.0092624841467682,0.0017947950942267,1.960941473158193e-07,0.0002973833133074,"(-21.1340598, -44.2633608)",0,684.564373221939,0.1,22.335804769171293
28,0.0247294408320572,0.0014644542321589,0.0023930601256356,2.023859657533888e-07,0.000396396751191,"(-21.1347062, -44.2624305)",1,580.364970546619,0.4,1282.0683804578339
29,0.024128995936397,0.0003591876368699,0.0017947950942267,1.9474385341009482e-07,0.0003300966369259,"(-21.134147, -44.2632403)",0,670.4145447120319,0.2,25.866310334737015
30,0.0252876345509421,0.0147859468116802,0.0017947950942267,1.667225372263937e-07,0.0003481845606256,"(-21.1348239, -44.2625364)",0,572.1383092679049,0.3,58.95107304690074
31,0.0263412942928508,0.0211187490162167,0.0017947950942267,3.41825870354657e-08,0.0004717239763448,"(-21.1354429, -44.2618069)",1,482.0603967089549,0.6000000000000001,68.68376759395653
32,0.0257824189045364,0.0175290342829293,0.0014956625785222,7.473888702512725e-08,0.0003278404059335,"(-21.1350535, -44.262428)",0,544.2566515677461,0.2,41.28459483491535
33,0.0263705924114538,0.0154359263420968,0.0014956625785222,7.612826220932878e-09,0.0002796182715867,"(-21.1361357, -44.2624634)",3,436.61895704541865,1.3,129.26945341700443
34,0.0273134303969148,0.0251384206979614,0.0014956625785222,1.971005488527419e-10,0.0003054562718846,"(-21.1326456, -44.2595877)",0,778.2816751329503,1.0,114.88836164874576
35,0.0278242486287631,0.0105010045314183,0.0014956625785222,3.3051721106407444e-11,0.0002336149140784,"(-21.1323967, -44.2588383)",3,818.283546792861,1.5,209.13003482028813
36,0.0284085115061694,0.0623221297857303,0.0008973975471133,4.886476272871847e-11,0.0002164369289242,"(-21.1344792, -44.25938)",3,580.1455111657776,1.4,122.25152167910596
37,0.0265247990605635,0.0049248442256216,0.0008973975471133,1.9685102873230116e-09,0.0001719040151288,"(-21.1343296, -44.2602712)",0,585.9643598492577,0.8,68.80035819386228
38,0.0256035169413638,0.0053309847580872,0.0014956625785222,5.147565615970011e-09,0.0002720807355376,"(-21.1337386, -44.2608576)",0,652.5229538401932,0.3,19.424402861306415
39,0.02758046019685,0.0218991482231807,0.0011965300628178,3.2115487670721737e-10,0.0002198299061635,"(-21.1368081, -44.2621726)",0,356.5829727112684,0.2,15.458239091019555
40,0.0277814712628394,0.0074243078503465,0.0011965300628178,2.86520674996799e-10,0.0002675418911423,"(-21.1358949, -44.2614777)",0,424.51178396977184,0.4,29.27115424449339
41,0.0272464240596601,0.0250853594195375,0.0011965300628178,6.174073639549499e-09,0.0002981589445449,"(-21.1350895, -44.2609465)",2,503.4882869724123,1.3,85.63284359748933
42,0.0271801876514301,0.0211294816082512,0.0011965300628178,1.288445485142368e-10,0.0002123120112797,"(-21.1329509, -44.2591399)",0,751.7258978997479,0.0,0.0
43,0.0286061456577359,0.0212111919433977,0.0011965300628178,7.932938560293067e-11,0.0002296666072671,"(-21.1333369, -44.2585812)",1,723.1121851953743,0.4,18.021593667767334
44,0.0308930617676412,0.1532521753485733,0.0014956625785222,5.502844846326366e-10,0.0005170715676756,"(-21.1337623, -44.2580479)",0,695.7406078765603,0.6,43.93669164944025
45,0.0303671674872372,0.09247352387136,0.0014956625785222,5.828762205420414e-10,0.0003017892261488,"(-21.1346544, -44.2571626)",1,647.9414117513013,0.7999999999999999,50.63264251309257
46,0.0281021192175455,0.0126458301180393,0.0014956625785222,2.520728450672685e-10,0.0002484917844013,"(-21.1352674, -44.2565238)",1,632.0245630686499,0.6000000000000001,44.631576963897515
47,0.0260522603823284,0.0219613186411924,0.0017947950942267,2.1698013001467e-08,0.0002922375682798,"(-21.1366612, -44.263066)",1,422.8339246495423,1.1,102.1173442453466
48,0.0261902336986752,0.0222737158390232,0.0014956625785222,3.7360407259151614e-10,0.0004130463303003,"(-21.1397049, -44.2594783)",0,103.91395625151176,1.3,87.31329412982878
49,0.02700170426551,0.0073872054389621,0.0011965300628178,2.4876975989556387e-11,0.000264980524888,"(-21.1375415, -44.2565668)",1,465.1287847930125,0.5,39.28160389019004
50,0.0280785156938996,0.0852439680732602,0.0008973975471133,9.130717277529872e-11,0.0002054624285307,"(-21.1361918, -44.2606473)",0,378.9508506450415,0.1,11.29518879265418
51,0.0284215537909574,0.0519910511190101,0.0011965300628178,8.524271131417826e-11,0.0002760149045464,"(-21.136819, -44.2600906)",1,311.3218802852149,0.7000000000000001,46.00452907516208
52,0.0313003258304932,0.1357756583300147,0.0017947950942267,3.479253638856728e-09,0.0003120704929593,"(-21.133102, -44.2551214)",1,910.7861520307524,0.7,21.895195711590805
53,0.0289813610749891,0.0563683785857424,0.0011965300628178,2.2828318529916926e-10,0.000320313493186,"(-21.1362829, -44.2594288)",1,383.9920718677374,1.0,120.6880974781438
54,0.027257309655431,0.0021754758590328,0.0011965300628178,3.22398153952197e-11,0.0003282635539289,"(-21.1360395, -44.2576264)",0,493.5301573793226,0.5,34.46763384808955
55,0.0287765449208494,0.0386108928461235,0.0011965300628178,8.168061484053167e-11,0.0002967422505684,"(-21.1354573, -44.2582738)",0,513.6358678058566,0.0,0.0
56,0.0298658137831221,0.0228768766728164,0.0017947950942267,5.0212458254676095e-09,0.0003175026816979,"(-21.134208, -44.2545245)",0,860.0024423382441,0.4,29.544092392957616
57,0.0299860967843207,0.000245880516592,0.0017947950942267,1.145682665989529e-08,0.0002984289878163,"(-21.1331952, -44.2527497)",0,1071.5664362768507,0.2,17.010067950301526
58,0.0301600476353728,0.0021843671784633,0.0017947950942267,1.4687543420267716e-08,0.0002983170619013,"(-21.1323881, -44.2507388)",0,1289.0683903882054,0.0,0.0
59,0.0285290026369912,0.0564132401468189,0.0008973975471133,2.2333502796186767e-10,8.527667823971378e-05,"(-21.132231, -44.2568204)",0,902.3362619543436,0.8,54.089345219958645
60,0.0290809447174981,0.0788511123210813,0.0014956625785222,7.429307967626811e-11,0.0002610744434526,"(-21.1334993, -44.2583712)",0,712.112646026452,0.5,40.23261944209633
61,0.0306043045599772,0.0841235491261992,0.0020939276099311,2.9234006403620583e-10,0.0003103896575317,"(-21.1325765, -44.2573479)",0,845.1625398804435,0.4,64.60183460080371
62,0.0298367591014164,0.0242092597042195,0.0011965300628178,7.501550516782719e-11,0.0003376169036251,"(-21.1315909, -44.2527814)",0,1195.3070623412132,0.0,0.0
63,0.0312316071712179,0.1097667595934788,0.0014956625785222,1.5176844849661895e-09,0.0004386553997901,"(-21.1340442, -44.2577781)",2,677.6669322634424,1.0,62.57461152874609
64,0.029788371574961,0.0663727587141271,0.0014956625785222,1.545219839341605e-10,0.0002791825851632,"(-21.1331724, -44.2580485)",0,757.24777304014,0.5,33.74990415563101
65,0.0309677538883382,0.0589675493974,0.0011965300628178,2.552952336110229e-10,0.0004324645880626,"(-21.1306905, -44.2529703)",1,1259.423808539887,1.5,78.76773545951197
66,0.0313364141693459,0.0587447153528244,0.0008973975471133,6.286338104145411e-10,0.0003004208928118,"(-21.1302899, -44.2513154)",1,1404.6167481858145,0.4,16.23950303259429
67,0.0299216827030655,0.0370287673721549,0.0017947950942267,2.975781596829776e-09,0.0003236821448679,"(-21.1342262, -44.2545892)",0,853.7845547614845,0.4,29.428271760375214
