Unnamed: 0,closeness_centrality,betweenes_centrality,degree_centrality,eigenvector_centrality,pagerank_centrality,latitude e longitude,quantidade_ocorrencia,distancia_universidade,quantidade_ocorrencia_2,medida_influencia_crime
0,0.0243995603538321,0.0174366182579423,0.00171998624011,7.86652174611391e-08,0.0003106714623138,"(-19.619227, -43.2115223)",0,5986.889113432576,0.0,0.0
1,0.0255603370383906,0.0185768337932657,0.002063983488132,1.02746923690536e-08,0.0003420368364602,"(-19.6236438, -43.2127416)",0,5495.124245396221,0.0,0.0
2,0.0203311689856285,0.0,0.000687994496044,1.4024352225368149e-08,0.0001646275213283,"(-19.6156809, -43.2063334)",0,6412.232847098571,0.3,11.118990041948923
3,0.0204204514050469,0.0,0.000687994496044,1.6805213019373833e-08,0.0001659247979006,"(-19.6165486, -43.2046292)",0,6336.737037558124,0.0,0.0
4,0.0257585144212682,0.0230282447447914,0.002063983488132,7.280191349391732e-07,0.0004392706281352,"(-19.6269892, -43.2087678)",0,5137.29816987315,0.3,33.62809789717991
5,0.02299231422417,0.0027779484830726,0.002063983488132,1.610464102723672e-07,0.0003232510525555,"(-19.621973, -43.2059435)",0,5721.169020384256,0.1,13.340822871847388
6,0.0275706022301115,0.0087450172804341,0.001375988992088,4.455247051018767e-06,0.0002865345225444,"(-19.6302822, -43.2102473)",0,4762.310382666325,0.0,0.0
7,0.0268350865160917,0.0312113893909357,0.002063983488132,6.08592582633622e-06,0.0003872901265502,"(-19.6282252, -43.2094672)",0,4995.182631037413,0.7,42.64722104364184
8,0.0230556262081382,0.0007936655242647,0.002063983488132,1.5101237836260437e-07,0.0003331264846863,"(-19.620411, -43.2096717)",0,5861.571382651987,0.0,0.0
9,0.0236745603420109,0.000202425025126,0.00171998624011,9.04023265913545e-08,0.0003141476492189,"(-19.6198673, -43.2106271)",0,5917.934523159497,0.0,0.0
10,0.0258053213846932,0.0059854738214635,0.002063983488132,2.5515605890467025e-08,0.0003513664491379,"(-19.6275067, -43.2115974)",0,5066.221684880632,0.0,0.0
11,0.0216360978956302,0.0016148854892262,0.001375988992088,2.202922371438049e-08,0.0002784011182593,"(-19.6172097, -43.2116703)",1,6210.960556688172,0.4,18.569065219972767
12,0.0217502935562502,0.0001838173391141,0.002063983488132,8.632862275079135e-08,0.0003380611194731,"(-19.6180961, -43.210102)",0,6116.724041158543,0.2,10.304306452226832
13,0.0226189195725388,0.0002939282564147,0.002063983488132,1.182817303651404e-07,0.0003304931988191,"(-19.6226024, -43.2052934)",0,5660.257754686437,0.0,0.0
14,0.0273045108381828,0.0087202856455279,0.002063983488132,8.191110498840285e-06,0.0003846454893223,"(-19.6302711, -43.2098332)",0,4765.812734014843,0.0,0.0
15,0.0226652839601242,0.0027060524757111,0.002063983488132,2.119083735275824e-10,0.0004742688751506,"(-19.6161962, -43.2170029)",0,6341.334021190422,0.0,0.0
16,0.0237802781055555,0.0010350309798138,0.001375988992088,5.699034565001928e-12,0.0002598679044652,"(-19.6132918, -43.2197526)",8,6690.309941749094,3.5,150.44336424478544
17,0.0225713375244933,0.0039466180449692,0.002063983488132,1.2783075728312028e-07,0.0003320668954214,"(-19.6184909, -43.2091)",0,6077.960639651956,0.0,0.0
