Ano Fato,Data Fato,Data_Hora Fato,Dia da Semana Fato,Latitude,Longitude,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2014,4/29/2014,29/04/2014 23:00:00,TERÇA-FEIRA,-20.75560360,-42.88027470,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,4/30/2014,30/04/2014 02:00:00,QUARTA-FEIRA,-20.75380670,-42.88229610,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,5/7/2014,07/05/2014 02:50:00,QUARTA-FEIRA,-20.75385710,-42.88366590,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,5/11/2014,11/05/2014 01:00:00,DOMINGO,-20.76867130,-42.83764010,TENTADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),OUTRAS MOTIVACOES/CAUSAS 
2014,5/14/2014,14/05/2014 02:30:00,QUARTA-FEIRA,-20.76353780,-42.88129850,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,5/16/2014,16/05/2014 00:25:00,SEXTA-FEIRA,-20.75722730,-42.87758100,TENTADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,5/16/2014,16/05/2014 21:00:00,SEXTA-FEIRA,-20.71366670,-42.90130560,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,5/18/2014,18/05/2014 21:55:00,DOMINGO,-20.75359780,-42.88046850,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,5/21/2014,21/05/2014 22:50:00,QUARTA-FEIRA,-20.74988810,-42.88296410,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,5/27/2014,27/05/2014 22:15:00,TERÇA-FEIRA,-20.72347010,-42.86532390,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,6/16/2014,16/06/2014 20:40:00,SEGUNDA-FEIRA,-20.77389050,-42.89711110,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2014,6/18/2014,18/06/2014 18:05:00,QUARTA-FEIRA,-20.70108330,-42.94636110,TENTADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,6/18/2014,18/06/2014 20:48:00,QUARTA-FEIRA,-20.73620670,-42.86350590,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),OUTRAS MOTIVACOES/CAUSAS 
2014,6/20/2014,20/06/2014 20:20:00,SEXTA-FEIRA,-20.72907770,-42.86452460,TENTADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),OUTRAS MOTIVACOES/CAUSAS 
2014,6/22/2014,22/06/2014 21:20:00,DOMINGO,-20.72289880,-42.87010110,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,6/22/2014,22/06/2014 03:00:00,DOMINGO,-20.75799070,-42.88854150,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,6/24/2014,24/06/2014 22:05:00,TERÇA-FEIRA,-20.72907770,-42.86452460,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),ACAO DE GANGUES / FACCOES CRIMINOSAS
