Ano Fato,Data Fato,Data_Hora Fato,Horário Fato,Dia da Semana Fato,Latitude,Longitude,Município,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2015,9/28/2015,28/09/2015 23:30:00,23:30:00,SEGUNDA-FEIRA,-21.40954850,-45.94635030,ALFENAS,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2015,9/30/2015,30/09/2015 01:00:00,01:00:00,QUARTA-FEIRA,-21.42668690,-45.95249450,ALFENAS,CONSUMADO,BENS/VALORES DE PROPRIETARIO/FUNCIONARIO DE ESTABELECIMENTO,VANTAGEM ECONOMICA
2015,10/1/2015,01/10/2015 00:14:00,00:14:00,QUINTA-FEIRA,-21.46007540,-45.94784050,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,10/1/2015,01/10/2015 17:40:00,17:40:00,QUINTA-FEIRA,-21.41146430,-45.94807240,ALFENAS,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,VANTAGEM ECONOMICA
2015,10/1/2015,01/10/2015 20:30:00,20:30:00,QUINTA-FEIRA,-21.42835420,-45.93722540,ALFENAS,CONSUMADO,BENS / VALORES EM INTERIOR DE VEICULO,VANTAGEM ECONOMICA
2015,10/2/2015,02/10/2015 08:10:00,08:10:00,SEXTA-FEIRA,-21.43723580,-45.95427360,ALFENAS,TENTADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,10/2/2015,02/10/2015 15:52:00,15:52:00,SEXTA-FEIRA,-21.41924220,-45.95891720,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,10/3/2015,03/10/2015 12:12:00,12:12:00,SÁBADO,-21.42274920,-45.94464560,ALFENAS,CONSUMADO,BENS/VALORES DE PROPRIETARIO/FUNCIONARIO DE ESTABELECIMENTO,VANTAGEM ECONOMICA
2015,10/4/2015,04/10/2015 20:30:00,20:30:00,DOMINGO,-21.43554520,-45.94352960,ALFENAS,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2015,10/5/2015,05/10/2015 14:45:00,14:45:00,SEGUNDA-FEIRA,-21.42479550,-45.95025030,ALFENAS,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,10/8/2015,08/10/2015 00:05:00,00:05:00,QUINTA-FEIRA,-21.40045010,-45.94237340,ALFENAS,CONSUMADO,BENS/VALORES DE PROPRIETARIO/FUNCIONARIO DE ESTABELECIMENTO,VANTAGEM ECONOMICA
2015,10/9/2015,09/10/2015 08:14:00,08:14:00,SEXTA-FEIRA,-21.42778450,-45.94176060,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,10/9/2015,09/10/2015 21:10:00,21:10:00,SEXTA-FEIRA,-21.42754420,-45.94651320,ALFENAS,TENTADO,BENS/VALORES DE TRABALHADOR DE RUA,VANTAGEM ECONOMICA
2015,10/10/2015,10/10/2015 05:42:00,05:42:00,SÁBADO,-21.43452540,-45.93482350,ALFENAS,CONSUMADO,BENS/VALORES DE MORADOR / VISITANTE DE RESIDENCIA,VANTAGEM ECONOMICA
2015,10/13/2015,13/10/2015 20:00:00,20:00:00,TERÇA-FEIRA,-21.41612000,-45.96007720,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,10/13/2015,13/10/2015 21:10:00,21:10:00,TERÇA-FEIRA,-21.42058750,-45.94666980,ALFENAS,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,10/15/2015,15/10/2015 03:16:00,03:16:00,QUINTA-FEIRA,-21.42215380,-45.96615680,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,10/17/2015,17/10/2015 20:33:00,20:33:00,SÁBADO,-21.41706500,-45.96272710,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,10/19/2015,19/10/2015 20:30:00,20:30:00,SEGUNDA-FEIRA,-21.43708830,-45.94433840,ALFENAS,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2015,10/19/2015,19/10/2015 23:30:00,23:30:00,SEGUNDA-FEIRA,-21.41850800,-45.96025290,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,10/21/2015,21/10/2015 14:30:00,14:30:00,QUARTA-FEIRA,-21.44032530,-45.94826610,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2015,10/22/2015,22/10/2015 11:20:00,11:20:00,QUINTA-FEIRA,-21.42118820,-45.94750340,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,10/26/2015,26/10/2015 14:30:00,14:30:00,SEGUNDA-FEIRA,-21.42398850,-45.95104160,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2015,10/26/2015,26/10/2015 21:00:00,21:00:00,SEGUNDA-FEIRA,-21.42298430,-45.94722190,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,10/30/2015,30/10/2015 09:30:00,09:30:00,SEXTA-FEIRA,-21.41173640,-45.94614920,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,10/30/2015,30/10/2015 21:10:00,21:10:00,SEXTA-FEIRA,-21.41353160,-45.96867620,ALFENAS,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2015,10/31/2015,31/10/2015 20:00:00,20:00:00,SÁBADO,-21.41932810,-45.95083850,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2015,11/1/2015,01/11/2015 02:29:00,02:29:00,DOMINGO,-21.42966910,-45.94409530,ALFENAS,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),OUTRAS MOTIVACOES/CAUSAS 
