Ano Fato,Data Fato,Data_Hora Fato,Dia da Semana Fato,Latitude,Longitude,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2014,4/18/2014,18/04/2014 01:47:00,SEXTA-FEIRA,-20.39152560,-43.48763470,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2014,4/20/2014,20/04/2014 02:34:00,DOMINGO,-20.40675680,-43.50906710,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2014,5/2/2014,02/05/2014 23:10:00,SEXTA-FEIRA,-20.40252640,-43.51034260,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,5/9/2014,09/05/2014 05:31:00,SEXTA-FEIRA,-20.38645120,-43.50623340,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,6/6/2014,06/06/2014 07:20:00,SEXTA-FEIRA,-20.28083030,-43.72475720,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),OUTRAS MOTIVACOES/CAUSAS 
2014,6/15/2014,15/06/2014 03:37:00,DOMINGO,-20.38484870,-43.50354540,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,6/15/2014,15/06/2014 05:17:00,DOMINGO,-20.38795080,-43.50409260,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,6/15/2014,15/06/2014 23:00:00,DOMINGO,-20.38884120,-43.50187970,TENTADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,6/18/2014,18/06/2014 01:16:00,QUARTA-FEIRA,-20.39002830,-43.49327740,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,6/20/2014,20/06/2014 23:53:00,SEXTA-FEIRA,-20.38579530,-43.50175930,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,VANTAGEM ECONOMICA
2014,6/22/2014,22/06/2014 19:53:00,DOMINGO,-20.42136030,-43.61328260,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),VANTAGEM ECONOMICA
2014,6/28/2014,28/06/2014 15:08:00,SÁBADO,-20.38569650,-43.50375430,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,6/29/2014,29/06/2014 09:40:00,DOMINGO,-20.39076700,-43.48987770,CONSUMADO,BENS/VALORES DE MORADOR / VISITANTE DE RESIDENCIA,BRIGA
2014,6/29/2014,29/06/2014 22:55:00,DOMINGO,-20.38780830,-43.50281060,CONSUMADO,BENS / VALORES DE TRANSEUNTE,ENVOLVIMENTO COM DROGAS
2014,7/1/2014,01/07/2014 00:29:00,TERÇA-FEIRA,-20.38488060,-43.50819480,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,7/3/2014,03/07/2014 00:05:00,QUINTA-FEIRA,-20.38576710,-43.50223290,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,7/6/2014,06/07/2014 03:47:00,DOMINGO,-20.38816950,-43.49815090,CONSUMADO,BENS / VALORES DE TRANSEUNTE,ENVOLVIMENTO COM DROGAS
2014,7/9/2014,09/07/2014 04:50:00,QUARTA-FEIRA,-20.35660750,-43.67890840,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,7/20/2014,20/07/2014 04:45:00,DOMINGO,-20.38544280,-43.50357970,TENTADO,BENS / VALORES DE TRANSEUNTE,ENVOLVIMENTO COM DROGAS
2014,7/29/2014,29/07/2014 22:16:00,TERÇA-FEIRA,-20.37429660,-43.50268640,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,7/30/2014,30/07/2014 09:53:00,QUARTA-FEIRA,-20.38390910,-43.49826140,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,8/8/2014,08/08/2014 01:00:00,SEXTA-FEIRA,-20.38518570,-43.50843550,CONSUMADO,BENS / VALORES EM INTERIOR DE VEICULO,VANTAGEM ECONOMICA
2014,8/8/2014,08/08/2014 22:00:00,SEXTA-FEIRA,-20.38488060,-43.50819480,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,8/10/2014,10/08/2014 07:30:00,DOMINGO,-20.38555590,-43.50181060,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,8/23/2014,23/08/2014 05:21:00,SÁBADO,-20.38815300,-43.50107780,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,9/6/2014,06/09/2014 02:33:00,SÁBADO,-20.38767500,-43.50281560,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,9/8/2014,08/09/2014 03:02:00,SEGUNDA-FEIRA,-20.38472930,-43.48649410,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,9/9/2014,09/09/2014 18:42:00,TERÇA-FEIRA,-20.38636360,-43.47320720,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
