Ano Fato,Data Fato,Data_Hora Fato,Dia da Semana Fato,Latitude,Longitude,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2014,5/29/2014,29/05/2014 05:24:00,QUINTA-FEIRA,-22.43690030,-45.45865630,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,ENVOLVIMENTO COM DROGAS
2014,6/13/2014,13/06/2014 22:50:00,SEXTA-FEIRA,-22.42221770,-45.45493730,TENTADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,VANTAGEM ECONOMICA
2014,6/22/2014,22/06/2014 02:20:00,DOMINGO,-22.42850140,-45.46162200,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,6/23/2014,23/06/2014 16:32:00,SEGUNDA-FEIRA,-22.42427790,-45.45300900,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,OUTRAS MOTIVACOES/CAUSAS 
2014,6/28/2014,28/06/2014 00:45:00,SÁBADO,-22.42924920,-45.45895130,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,7/1/2014,01/07/2014 01:00:00,TERÇA-FEIRA,-22.41965930,-45.44572400,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,OUTRAS MOTIVACOES/CAUSAS 
2014,7/8/2014,08/07/2014 20:45:00,TERÇA-FEIRA,-22.42158620,-45.45649970,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,7/15/2014,15/07/2014 12:30:00,TERÇA-FEIRA,-22.41926260,-45.47578900,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,7/18/2014,18/07/2014 18:00:00,SEXTA-FEIRA,-22.39233610,-45.45990740,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2014,7/20/2014,20/07/2014 22:45:00,DOMINGO,-22.41997180,-45.45009850,TENTADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,VANTAGEM ECONOMICA
2014,7/27/2014,27/07/2014 01:00:00,DOMINGO,-22.42161640,-45.46413660,TENTADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2014,7/29/2014,29/07/2014 20:00:00,TERÇA-FEIRA,-22.41712080,-45.46361320,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,7/31/2014,31/07/2014 19:00:00,QUINTA-FEIRA,-22.42427790,-45.45300900,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,OUTRAS MOTIVACOES/CAUSAS 
2014,8/1/2014,01/08/2014 23:20:00,SEXTA-FEIRA,-22.42477660,-45.45122160,CONSUMADO,BENS/VALORES DE PROPRIETARIO/FUNCIONARIO DE ESTABELECIMENTO,VANTAGEM ECONOMICA
2014,8/6/2014,06/08/2014 21:05:00,QUARTA-FEIRA,-22.45741210,-45.48214930,CONSUMADO,BENS / VALORES DE MOTORISTA / COBRADOR DE TRANSPORTE COLETIVO,VANTAGEM ECONOMICA
2014,8/7/2014,07/08/2014 09:30:00,QUINTA-FEIRA,-22.42216680,-45.45181930,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,8/11/2014,11/08/2014 20:20:00,SEGUNDA-FEIRA,-22.41906430,-45.47128100,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,8/20/2014,20/08/2014 21:50:00,QUARTA-FEIRA,-22.44594380,-45.45647700,CONSUMADO,BENS/VALORES DE MORADOR / VISITANTE DE RESIDENCIA,VANTAGEM ECONOMICA
2014,8/22/2014,22/08/2014 06:45:00,SEXTA-FEIRA,-22.43157960,-45.48912840,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2014,8/24/2014,24/08/2014 16:20:00,DOMINGO,-22.43315300,-45.43817820,TENTADO,BENS / VALORES DE TRANSEUNTE,ENVOLVIMENTO COM DROGAS
2014,8/29/2014,29/08/2014 22:30:00,SEXTA-FEIRA,-22.41875010,-45.46214180,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,9/1/2014,01/09/2014 06:50:00,SEGUNDA-FEIRA,-22.42168260,-45.46667290,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,9/3/2014,03/09/2014 10:00:00,QUARTA-FEIRA,-22.42422480,-45.45480730,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,OUTRAS MOTIVACOES/CAUSAS 
2014,9/4/2014,04/09/2014 14:00:00,QUINTA-FEIRA,-22.42502300,-45.46502560,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,9/5/2014,05/09/2014 18:40:00,SEXTA-FEIRA,-22.42225180,-45.45231570,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,9/5/2014,05/09/2014 22:42:00,SEXTA-FEIRA,-22.42837940,-45.46332810,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,9/5/2014,05/09/2014 14:25:00,SEXTA-FEIRA,-22.43628310,-45.43707600,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,OUTRAS MOTIVACOES/CAUSAS 
2014,9/8/2014,08/09/2014 15:38:00,SEGUNDA-FEIRA,-22.42408490,-45.46767380,CONSUMADO,BENS/VALORES DE PROPRIETARIO/FUNCIONARIO DE ESTABELECIMENTO,VANTAGEM ECONOMICA
2014,9/10/2014,10/09/2014 09:24:00,QUARTA-FEIRA,-22.44161870,-45.47389560,CONSUMADO,BENS/VALORES DE MORADOR / VISITANTE DE RESIDENCIA,OUTRAS MOTIVACOES/CAUSAS 
2014,9/10/2014,10/09/2014 19:00:00,QUARTA-FEIRA,-22.43196300,-45.45992280,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,9/11/2014,11/09/2014 08:40:00,QUINTA-FEIRA,-22.42202290,-45.45069330,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,OUTRAS MOTIVACOES/CAUSAS 
2014,9/17/2014,17/09/2014 20:47:00,QUARTA-FEIRA,-22.42247470,-45.45169760,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,9/19/2014,19/09/2014 20:10:00,SEXTA-FEIRA,-22.43791980,-45.45562320,CONSUMADO,BENS/VALORES DE MORADOR / VISITANTE DE RESIDENCIA,VANTAGEM ECONOMICA
2014,9/30/2014,30/09/2014 08:00:00,TERÇA-FEIRA,-22.42758110,-45.49924930,TENTADO,BENS/VALORES DE MORADOR / VISITANTE DE RESIDENCIA,OUTRAS MOTIVACOES/CAUSAS 
2014,10/2/2014,02/10/2014 17:07:00,QUINTA-FEIRA,-22.42758540,-45.48955610,CONSUMADO,BENS / VALORES DE MOTORISTA / COBRADOR DE TRANSPORTE COLETIVO,OUTRAS MOTIVACOES/CAUSAS 
2014,10/3/2014,03/10/2014 16:20:00,SEXTA-FEIRA,-22.42634860,-45.45534700,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,10/4/2014,04/10/2014 05:00:00,SÁBADO,-22.42897210,-45.45609630,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),OUTRAS MOTIVACOES/CAUSAS 
2014,10/13/2014,13/10/2014 22:40:00,SEGUNDA-FEIRA,-22.43031680,-45.46509330,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,OUTRAS MOTIVACOES/CAUSAS 
2014,10/21/2014,21/10/2014 21:00:00,TERÇA-FEIRA,-22.43690030,-45.45865630,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,10/22/2014,22/10/2014 21:50:00,QUARTA-FEIRA,-22.42480150,-45.46699920,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
