Ano Fato,Data Fato,Data_Hora Fato,Dia da Semana Fato,Latitude,Longitude,Tentado/Consumado Nat Principal,Desc Longa Subgrupo Complemento Nat,Causa Presumida
2014,2/21/2014,21/02/2014 14:40:00,SEXTA-FEIRA,-19.65786200,-43.23353290,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,ENVOLVIMENTO COM DROGAS
2014,2/23/2014,23/02/2014 18:00:00,DOMINGO,-19.65321300,-43.23326170,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,2/24/2014,24/02/2014 06:40:00,SEGUNDA-FEIRA,-19.65031810,-43.23643870,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,2/24/2014,24/02/2014 17:30:00,SEGUNDA-FEIRA,-19.64285310,-43.23099480,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,3/1/2014,01/03/2014 04:10:00,SÁBADO,-19.59049880,-43.19407380,CONSUMADO,BENS / VALORES DE MOTORISTA / PASSAGEIRO DE VEICULO PARTICULAR,VANTAGEM ECONOMICA
2014,3/4/2014,04/03/2014 13:00:00,TERÇA-FEIRA,-19.65031810,-43.23643870,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,3/5/2014,05/03/2014 12:40:00,QUARTA-FEIRA,-19.62104420,-43.22601700,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,3/7/2014,07/03/2014 14:00:00,SEXTA-FEIRA,-19.65660190,-43.24636800,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,3/7/2014,07/03/2014 20:27:00,SEXTA-FEIRA,-19.62366220,-43.22442890,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,3/8/2014,08/03/2014 21:30:00,SÁBADO,-19.64420760,-43.17856580,CONSUMADO,CARGAS,VANTAGEM ECONOMICA
2014,3/10/2014,10/03/2014 13:00:00,SEGUNDA-FEIRA,-19.64566610,-43.22410960,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,3/10/2014,10/03/2014 20:20:00,SEGUNDA-FEIRA,-19.64285310,-43.23099480,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,VANTAGEM ECONOMICA
2014,3/12/2014,12/03/2014 07:30:00,QUARTA-FEIRA,-19.62766740,-43.23158720,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,3/14/2014,14/03/2014 11:00:00,SEXTA-FEIRA,-19.59398080,-43.19434720,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,OUTRAS MOTIVACOES/CAUSAS 
2014,3/15/2014,15/03/2014 22:45:00,SÁBADO,-19.62335010,-43.23254010,CONSUMADO,VEICULO OU EMBARCACAO (ESPECIFICAR NA ABA VEICULOS),IGNORADO
2014,3/18/2014,18/03/2014 22:45:00,TERÇA-FEIRA,-19.64566610,-43.22410960,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,3/25/2014,25/03/2014 16:30:00,TERÇA-FEIRA,-19.59872250,-43.20092010,TENTADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,OUTRAS MOTIVACOES/CAUSAS 
2014,3/25/2014,25/03/2014 18:00:00,TERÇA-FEIRA,-19.59568400,-43.19330600,CONSUMADO,OUTROS BENS / VALORES EM OUTRO LOCAL (ESPECIFICAR,OUTRAS MOTIVACOES/CAUSAS 
2014,3/30/2014,30/03/2014 22:30:00,DOMINGO,-19.62623280,-43.23125080,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,4/2/2014,02/04/2014 21:10:00,QUARTA-FEIRA,-19.63264270,-43.23470690,CONSUMADO,BENS / VALORES DE TRANSEUNTE,IGNORADO
2014,4/7/2014,07/04/2014 20:25:00,SEGUNDA-FEIRA,-19.64275670,-43.23224670,CONSUMADO,BENS / VALORES DE TRANSEUNTE,OUTRAS MOTIVACOES/CAUSAS 
2014,4/7/2014,07/04/2014 22:32:00,SEGUNDA-FEIRA,-19.62322600,-43.22658470,TENTADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,4/9/2014,09/04/2014 12:50:00,QUARTA-FEIRA,-19.62388280,-43.22731010,CONSUMADO,BENS / VALORES DE TRANSEUNTE,VANTAGEM ECONOMICA
2014,4/10/2014,10/04/2014 22:40:00,QUINTA-FEIRA,-19.65013120,-43.23186870,CONSUMADO,BENS / VALORES DE ESTABELECIMENTO /PESSOA JURIDICA,VANTAGEM ECONOMICA
