Unnamed: 0,closeness_centrality,betweenes_centrality,degree_centrality,eigenvector_centrality,pagerank_centrality,latitude e longitude,quantidade_ocorrencia,distancia_universidade,quantidade_ocorrencia_2,medida_influencia_crime
0,0.0290140632089169,0.0449719500194365,0.0017675651789659,5.463344386621666e-06,0.0004268917141133,"(-19.8389253, -43.1825872)",2,1591.6893525089588,1.8,145.24007038220256
1,0.025513248067255,0.010370799944474,0.0022094564737074,1.0860858846741956e-06,0.0003061288197072,"(-19.8411591, -43.1997174)",0,3398.311204233064,0.6000000000000001,38.19749682303025
2,0.0319363252351943,0.0,0.0008837825894829,2.9814641088213674e-06,0.0001981478241673,"(-19.8196113, -43.1769287)",2,2055.2241833528306,1.2,94.63585858549003
3,0.0334118514458949,0.0661863052606998,0.0026513477684489,6.890609100309791e-06,0.0004546393591014,"(-19.8165531, -43.1791663)",1,2465.810945446918,0.4,76.30967583152344
4,0.0294417424604963,0.0073969204582612,0.0013256738842244,7.379239687600425e-06,0.0004137657748305,"(-19.812361, -43.1811213)",1,2972.972690510884,1.2000000000000002,126.53372214720383
5,0.0314595706483092,0.0058178828107163,0.0026513477684489,6.586727742228179e-06,0.0004300983092091,"(-19.8142164, -43.1776589)",2,2629.512613628993,1.1,166.2429253459641
6,0.0288774530697005,0.0082552531744212,0.0030932390631904,0.0005185006232615,0.0004455168023041,"(-19.8108045, -43.1839759)",1,3271.5464946043003,0.6,36.754089845212995
7,0.027686506096929,0.0010485376185199,0.0026513477684489,1.5257110016844377e-07,0.0004871482634472,"(-19.8177731, -43.1710325)",0,2048.906614864497,0.5,36.57712356314946
8,0.0268991964462809,0.0014115096163036,0.0026513477684489,0.1307775279664827,0.0003993502440583,"(-19.8375083, -43.1978238)",0,3155.0793226961505,0.0,0.0
9,0.0258961399906105,0.0,0.0008837825894829,0.0329791116255749,0.0001865801298976,"(-19.8367336, -43.1989448)",0,3268.6829101933567,0.1,7.694438416126164
10,0.0274061244993765,4.838991860042413e-05,0.0026513477684489,0.062882266218632,0.0004078602157348,"(-19.8313659, -43.1951831)",0,2918.5483587083395,0.0,0.0
11,0.0281773280527047,0.0010381297718699,0.0026513477684489,0.0001108395883724,0.0004037618815649,"(-19.8165938, -43.1886593)",1,3070.4329430857624,0.6000000000000001,24.94212173372223
