Unnamed: 0,closeness_centrality,betweenes_centrality,degree_centrality,eigenvector_centrality,pagerank_centrality,latitude e longitude,quantidade_ocorrencia,distancia_universidade,quantidade_ocorrencia_2,medida_influencia_crime
0,0.0318699593083634,0.0040474821117401,0.0007757951900698,4.213823600407375e-06,0.0002625302324516,"(-21.2497847, -45.0035955)",2,2336.589592967034,2.0000000000000004,176.00282348621076
1,0.0224741406593705,0.0260448478565316,0.0010343935867597,1.4788963642962162e-16,0.000276486017076,"(-21.2097413, -44.9714576)",0,3310.609892068006,0.3,5.80780348468084
2,0.0320207596751044,0.0324628085880652,0.0010343935867597,7.22337808076322e-06,0.0001976145041537,"(-21.254418, -44.9952887)",0,2638.450544316994,0.0,0.0
3,0.0300799366060821,0.0258718774566303,0.0010343935867597,2.210840864766241e-07,0.0001738757106674,"(-21.2597393, -44.9915434)",0,3238.484379973725,0.0,0.0
4,0.0298599229181833,0.0109138532661088,0.0010343935867597,4.4893368303854e-08,0.000213136755254,"(-21.2549595, -44.9943999)",1,2696.060310790072,0.5,39.99003306181267
5,0.024384582692126,0.0131911122289109,0.0012929919834497,3.1170119558248615e-12,0.0003270996212453,"(-21.2679027, -44.9798761)",0,4390.938281279757,0.6,17.73718109839463
6,0.0280592214188103,0.095477303359858,0.0012929919834497,1.846626521987136e-07,0.0002727608192038,"(-21.2652491, -45.0052451)",0,4009.225681155509,0.0,0.0
7,0.0225237390603363,0.0318205508673183,0.0012929919834497,4.700467111268677e-17,0.0003194153646201,"(-21.2160203, -44.9731103)",0,2723.0722683631698,0.0,0.0
8,0.0219341764316742,0.0,0.0005171967933798,6.783340738519551e-16,0.0001233243518757,"(-21.2067494, -44.9713387)",0,3561.001099669413,0.0,0.0
9,0.0224326625767325,0.0344558738357244,0.0007757951900698,2.479976726170232e-15,0.0001996154790428,"(-21.2076207, -44.9706892)",0,3535.01230981726,0.0,0.0
10,0.0219348169353487,0.0344568103017238,0.0010343935867597,8.638771706002241e-16,0.0002284434091674,"(-21.2077427, -44.9711521)",0,3492.274748072228,0.0,0.0
11,0.0229544735641854,0.0347983851423547,0.0012929919834497,9.06684782966218e-15,0.00037710459926,"(-21.2078431, -44.9705827)",0,3524.722156001944,0.0,0.0
12,0.0217199338686792,0.0579960059546201,0.0010343935867597,8.312548393487935e-16,0.0002447313689832,"(-21.2079286, -44.9715895)",0,3446.2894648304086,0.0,0.0
13,0.0233149851919549,0.0344268345858883,0.0010343935867597,1.456745258065598e-14,0.0002520504280127,"(-21.2082387, -44.9698764)",0,3544.649834287048,0.0,0.0
14,0.0216814409103201,0.0334471552924413,0.0010343935867597,4.771976462181803e-16,0.0002398230388991,"(-21.2083647, -44.9712434)",0,3435.46513961344,0.0,0.0
15,0.0217657512029255,0.0266117866506019,0.0007757951900698,4.984435318392849e-17,0.0002582571881799,"(-21.2085709, -44.9706749)",0,3460.0577064203244,0.0,0.0
16,0.0222566575678341,0.0266113184176022,0.0007757951900698,1.7635893778344146e-16,0.0002581905276247,"(-21.2086805, -44.970722)",0,3447.95821155665,0.0,0.0
