,closeness_centrality,betweenes_centrality,degree_centrality,eigenvector_centrality,pagerank_centrality,quantidade_ocorrencia,distancia_universidade,quantidade_ocorrencia_2,medida_influencia_crime
0,0.9396088701366394,0.10135474095031011,0.2857142857142857,1.3073972785942201e-09,0.38286954662203776,0.0,0.08780032871980001,0.13559322033898302,0.08209392195013035
1,0.8167054831332783,0.1438352789550934,0.7142857142857144,1.453984396453615e-09,0.7584111354618182,0.0,0.18934257325986673,0.033898305084745756,0.031545279723531626
2,0.9623255351909786,0.35509171426857733,0.7142857142857144,3.388324648658759e-09,0.5766266439715813,0.5714285714285714,0.06593740703144328,0.6610169491525422,0.23013568099570514
3,0.8584657989476608,0.0060561437162579244,0.7142857142857144,2.826834754296279e-10,0.43713846323720074,0.0,0.07756467067031114,0.08474576271186439,0.031059732517344042
4,0.9766603654694392,0.11371369790399005,0.7142857142857144,1.2874943670312324e-08,0.7386276913050429,0.0,0.1124498449341885,0.10169491525423727,0.02935788232455218
5,0.8373907311960411,0.03612724734271696,0.5714285714285714,5.987259024948035e-12,0.4922558277624127,0.2857142857142857,0.13288739600141994,0.45762711864406774,0.1703910683167504
6,0.8018499932746317,0.09949092270540782,0.8571428571428571,1.965127122474322e-07,0.8777388357199118,0.0,0.24196150485276072,0.1525423728813559,0.04800247638688721
7,0.8517106087415239,0.08356496285851604,0.4285714285714286,2.3078292288164658e-12,0.2689037115044338,0.07142857142857142,0.13343714066191542,0.10169491525423728,0.03414118399385247
8,0.921892843547774,0.02646974211879401,0.4285714285714286,8.817098404793451e-09,0.4161966578639116,0.0,0.11050381382751621,0.050847457627118633,0.021929734598262106
9,0.9540681283777959,0.07100956286285409,0.7142857142857144,2.9872609493986515e-08,0.5481911702784584,0.0,0.09888591919154392,0.06779661016949151,0.0657759957823308
10,0.9429127631098678,0.06999934869521249,0.7142857142857144,9.284955954623367e-09,0.6817668536140863,0.2857142857142857,0.0971788072162523,0.32203389830508466,0.09782534014020709
11,0.9880915952672366,0.5156450732221971,0.7142857142857144,1.0446155720757223e-07,0.9760025726055002,0.14285714285714285,0.08419835536245332,0.22033898305084748,0.12779836688343865
12,0.954079873935095,0.10204480027301405,0.4285714285714286,1.7828585367892884e-09,0.5155585254131184,0.0,0.0877744464781228,0.033898305084745756,0.04468997182682612
13,0.8383962958154828,0.08653765225292127,0.4285714285714286,5.0033437086346005e-11,0.4332556222921754,0.0,0.16529248562756246,0.20338983050847453,0.054286062332625847
14,0.8661994657367347,0.2029955763612213,1.0,3.8697909458468605e-10,0.6513735708830798,0.0,0.10070473751925156,0.050847457627118633,0.01784528720666993
15,0.8390861844954536,0.18251166577769423,0.7142857142857144,1.8230049278695444e-10,0.749693820593799,0.2857142857142857,0.165378503282775,0.27118644067796605,0.057632919234855466
16,0.9131915395039178,0.00010459320081174623,0.2857142857142857,5.634756410542759e-06,0.4624763309560411,0.0,0.12535237839088792,0.050847457627118633,0.015491231719558041
17,0.9447288862882781,0.024207841916121967,0.4285714285714286,1.3560387805534864e-05,0.28894974159264586,0.0,0.135864127348137,0.050847457627118633,0.02246905735566516
18,0.917863868392689,0.16106229077083947,0.5714285714285714,0.00028333932566764825,0.4755535324504476,0.0,0.14616437130267007,0.0,0.0
19,0.8915604436059077,0.11989185217723976,0.4285714285714286,0.00036977512323766235,0.2566339527679067,0.0,0.16600557515445458,0.033898305084745756,0.01321524656842233
20,0.9101671227406729,1.0,0.5714285714285714,0.00018836444526476755,0.26105488020637235,0.0,0.1845101146214084,0.0,0.0
21,0.8468986318136129,0.09047389552923661,1.0,6.296557285073869e-10,0.5381505683213101,0.5,0.1047865105277039,0.6101694915254237,0.14117390175454952
22,0.5980660745016624,0.005282662747975838,0.7142857142857144,6.327358427840498e-13,0.408508497687022,0.0,0.598140210184136,0.033898305084745756,0.01074956371987308
23,0.6379643883204235,0.015314210511341709,0.7142857142857144,3.54804687082717e-12,0.3980356844115174,0.0,0.5676790673386172,0.0,0.0
24,0.6376966624975312,0.015225526654810376,1.0,6.714381429794771e-12,0.5605047193962118,0.0,0.5528448625740674,0.0,0.0
25,0.6240528244151877,0.0,0.14285714285714288,3.8786709450391927e-13,0.14762497755825035,0.07142857142857142,0.5860675470803861,0.06779661016949151,0.018063142722616984
26,0.6111347685513763,0.0005838267386567851,0.7142857142857144,1.15568061225394e-12,0.4081457854660909,0.0,0.570034647093203,0.0,0.0
27,0.5977293411695734,0.0,0.14285714285714288,1.302066439213128e-13,0.15532419525092026,0.0,0.5796706897528812,0.0,0.0
28,0.6205946651505068,0.03285576792972858,0.7142857142857144,1.2118046841250936e-12,0.43424203024421193,0.0,0.5734924760547455,0.0,0.0
29,0.6102829423484295,0.00010206254243821171,0.7142857142857144,1.2459148436698712e-12,0.4072870330765793,0.0,0.5631359961849871,0.0,0.0
30,0.6236008851337747,0.002193387106958382,0.7142857142857144,1.4183621980334612e-12,0.4090853560987431,0.0,0.5626474605024369,0.0,0.0
31,0.6372299925174928,0.00314954096004689,0.7142857142857144,3.739826609228265e-12,0.5232030728228726,0.0,0.5484731562225316,0.016949152542372878,0.009212959442839763
32,0.6530051651935044,0.041224870437626696,0.7142857142857144,2.9955120831571104e-12,0.4311641140090068,0.0,0.5733102884322185,0.0,0.0
33,0.6343507763835329,0.008318500320380439,0.7142857142857144,8.6726598559841e-11,0.5214791590159545,0.0,0.5462737095345698,0.0,0.0
34,0.5943371627528864,0.0,0.14285714285714288,1.48752678005984e-13,0.15272842035841658,0.0,0.5873851744788199,0.0,0.0
